buy_id,customer_id,chose_trade,total_offer,prefer_cash,total_items,postal_code,gender
1,660,False,321.0,,5,10178,None
2,661,True,42.0,,3,,None
3,662,True,90.0,,3,UNKOWN,None
4,663,False,251.0,,6,UNKNOWN,None
5,664,True,16.0,,1,10178,None
6,665,False,554.0,,8,10178,None
7,666,False,19.0,,1,,None
8,667,True,16.0,,1,10435,None
9,668,False,178.0,,13,10249,None
10,669,True,42.0,,2,10178,None
11,670,False,186.0,,7,10247,None
12,671,False,1212.0,,19,10405,None
13,665,False,919.0,,12,10178,None
14,672,False,1666.0,,23,10119,None
15,673,True,38.0,,1,10119,None
16,1,True,96.0,,2,10119,None
17,674,False,45.0,,2,10964,None
18,1,True,110.0,,3,10119,None
19,675,False,61.0,,2,13156,None
20,676,False,67.0,,3,10407,None
21,672,False,720.0,,11,10119,None
22,2,True,317.0,,7,10963,None
23,677,False,155.0,,6,13357,None
24,669,False,28.0,,1,10178,None
25,678,False,151.0,,5,10119,None
26,3,True,92.0,,3,10179,Female
27,679,False,180.0,,1,10115,None
28,117,True,765.0,,22,10243,Male
29,4,True,20.0,,1,12524,Female
30,5,True,88.0,,2,10435,Male
31,680,False,203.0,,8,10119,None
32,671,False,271.0,,7,10405,None
33,681,False,281.0,,4,,None
34,682,False,137.0,,4,10117,None
35,683,False,120.0,,1,10170,None
36,2,True,74.0,,2,10963,None
37,1,True,27.0,,1,10119,None
38,108,False,141.0,,5,10247,Female
39,7,True,51.0,,1,10435,Female
40,684,False,237.0,,4,10405,None
41,685,False,62.0,,2,10178,None
42,686,False,243.0,,5,10178,None
43,687,False,117.0,,2,10439,None
44,688,False,280.0,,5,10178,None
45,672,False,765.0,,7,10119,None
46,6,True,45.0,,1,10435,Male
47,677,False,180.0,,7,13357,None
48,530,False,195.0,,6,10178,Female
49,9,True,1277.0,,47,10823,Female
50,665,False,391.0,,5,10178,None
51,25,False,621.0,,10,10178,None
52,6,True,36.0,,1,10435,Male
53,671,False,337.0,,8,10405,None
54,294,False,257.0,,7,10178,Female
55,10,True,275.0,,7,10551,Male
56,689,False,41.0,,2,10119,None
57,660,False,186.0,,3,10178,None
58,11,True,675.0,,16,10179,Female
59,684,False,225.0,,3,10405,None
60,1,True,123.0,,3,10119,None
61,688,False,227.0,,3,10178,None
62,12,True,267.0,,6,10115,Female
63,690,False,27.0,,1,12053,None
64,691,False,283.0,,8,10115,None
65,692,False,464.0,,6,10115,None
66,14,True,75.0,,1,10178,Female
67,693,False,184.0,,5,12435,None
68,694,False,605.0,,16,10997,None
69,15,True,144.0,,3,10439,Female
70,695,False,109.0,,4,10115,None
71,4,True,177.0,,6,12524,Female
72,696,False,15.0,,1,10405,None
73,677,False,427.0,,13,13357,None
74,697,False,552.0,,16,10178,None
75,17,True,137.0,,5,10178,Female
76,16,True,180.0,,7,10367,Female
77,698,False,138.0,,2,10115,None
78,18,True,78.0,,1,,None
79,699,True,640.0,,22,10717,None
80,13,True,91.0,,2,12161,Female
81,700,False,57.0,,3,10179,None
82,19,True,148.0,,3,12053,Male
83,226,False,243.0,,3,10179,Female
84,701,False,22.0,,1,10119,None
85,702,False,78.0,,1,12435,None
86,703,False,219.0,,5,10965,None
87,704,False,270.0,,2,10785,None
88,560,False,182.0,,2,10587,Male
89,705,False,86.0,,2,10178,None
90,20,True,470.0,,4,10119,Female
91,697,False,48.0,,2,10178,None
92,362,False,85.0,,3,10245,Female
93,697,False,75.0,,1,10178,None
94,706,False,39.0,,2,10178,None
