buy_id,brand_class_list
1,"Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class"
2,"Missing brand class,Missing brand class,Missing brand class"
3,"Missing brand class,Missing brand class,Missing brand class"
4,"Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class"
5,Missing brand class
6,"Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class"
7,Missing brand class
8,Missing brand class
9,"Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class"
10,"Missing brand class,Missing brand class"
11,"Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class"
12,"Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class"
13,"Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class"
14,"Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class"
15,Missing brand class
16,"Missing brand class,Missing brand class"
17,"Missing brand class,Missing brand class"
18,"Missing brand class,Missing brand class,Missing brand class"
19,"Missing brand class,Missing brand class"
20,"Missing brand class,Missing brand class,Missing brand class"
21,"Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class"
22,"Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class"
23,"Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class"
24,Missing brand class
25,"Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class"
26,"Missing brand class,Missing brand class,Missing brand class"
27,Missing brand class
28,"Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class"
29,Missing brand class
30,"Missing brand class,Missing brand class"
31,"Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class"
32,"Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class"
33,"Missing brand class,Missing brand class,Missing brand class,Missing brand class"
34,"Missing brand class,Missing brand class,Missing brand class,Missing brand class"
35,Missing brand class
36,"Missing brand class,Missing brand class"
37,Missing brand class
38,"Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class"
39,Missing brand class
40,"Missing brand class,Missing brand class,Missing brand class,Missing brand class"
41,"Missing brand class,Missing brand class"
42,"Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class"
43,"Missing brand class,Missing brand class"
44,"Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class"
45,"Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class"
46,Missing brand class
47,"Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class"
48,"Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class"
49,"Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class"
50,"Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class"
51,"Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class"
52,Missing brand class
53,"Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class"
54,"Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class"
55,"Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class"
56,"Missing brand class,Missing brand class"
57,"Missing brand class,Missing brand class,Missing brand class"
58,"Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class"
59,"Missing brand class,Missing brand class,Missing brand class"
60,"Missing brand class,Missing brand class,Missing brand class"
61,"Missing brand class,Missing brand class,Missing brand class"
62,"Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class"
63,Missing brand class
64,"Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class"
65,"Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class"
66,Missing brand class
67,"Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class"
68,"Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class"
69,"Missing brand class,Missing brand class,Missing brand class"
70,"Missing brand class,Missing brand class,Missing brand class,Missing brand class"
71,"Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class"
72,Missing brand class
73,"Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class"
74,"Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class"
75,"Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class"
76,"Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class"
77,"Missing brand class,Missing brand class"
78,Missing brand class
79,"Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class"
80,"Missing brand class,Missing brand class"
81,"Missing brand class,Missing brand class,Missing brand class"
82,"Missing brand class,Missing brand class,Missing brand class"
83,"Missing brand class,Missing brand class,Missing brand class"
84,Missing brand class
85,Missing brand class
86,"Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class"
87,"Missing brand class,Missing brand class"
88,"Missing brand class,Missing brand class"
89,"Missing brand class,Missing brand class"
90,"Missing brand class,Missing brand class,Missing brand class,Missing brand class"
91,"Missing brand class,Missing brand class"
92,"Missing brand class,Missing brand class,Missing brand class"
93,Missing brand class
94,"Missing brand class,Missing brand class"
95,"Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class"
96,"Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class,Missing brand class"
97,Missing brand class
98,Missing brand class
99,"Missing brand class,Missing brand class"
100,"Missing brand class,Missing brand class"
101,Missing brand class
