buy_id,customer_id
16,1
18,1
22,2
23,677
28,117
29,4
36,2
37,1
38,108
42,686
46,6
47,677
49,9
52,6
55,10
58,11
60,1
62,12
64,691
66,14
69,15
71,4
73,677
75,17
76,16
82,19
90,20
92,362
97,293
100,21
103,22
104,19
106,23
108,4
109,21
114,1
116,24
120,717
127,4
129,10
130,722
133,42
134,4
135,28
142,4
144,691
145,722
149,4
150,1
152,14
159,4
161,737
165,21
169,4
171,691
180,15
181,34
183,747
185,38
188,39
189,40
190,41
192,42
194,21
195,4
196,1
200,41
201,43
205,81
206,362
207,722
208,11
211,218
212,41
213,95
216,45
219,46
224,50
225,1
232,48
234,49
239,11
244,677
246,41
252,640
255,50
260,51
263,787
265,50
272,722
275,61
276,218
278,53
282,41
286,1
287,42
288,11
292,53
294,81
295,61
300,54
307,4
308,55
310,57
311,58
312,59
315,722
316,50
322,1
323,4
325,61
326,62
329,73
331,57
332,11
333,813
336,63
340,813
341,1
344,41
345,61
352,65
358,628
360,55
363,306
364,4
367,117
368,41
376,41
377,22
381,1
383,61
388,11
393,71
397,68
401,222
408,45
410,61
411,50
412,71
413,72
414,73
417,74
426,351
427,68
431,89
434,61
438,42
439,77
441,722
442,155
443,71
446,77
451,79
452,787
454,49
456,691
457,104
458,362
461,261
473,177
474,125
477,23
481,89
482,50
483,81
490,83
491,869
493,94
499,86
501,85
503,73
504,875
506,87
509,61
512,877
513,85
515,88
520,208
521,14
525,747
526,869
528,92
532,787
533,83
535,10
537,61
540,94
541,24
542,9
544,95
551,350
555,162
559,722
560,116
562,19
568,98
569,435
574,30
576,45
578,87
579,717
581,899
583,30
585,103
586,104
587,103
589,61
591,722
592,691
595,105
597,51
603,34
605,737
606,71
611,107
612,108
619,109
621,61
627,112
628,435
630,113
632,1
633,105
635,813
638,686
641,116
647,54
648,918
649,117
650,118
652,189
656,120
657,121
662,241
666,628
667,924
669,120
670,124
671,125
672,189
673,127
682,50
683,139
685,165
686,628
692,22
693,116
697,131
698,242
702,617
710,543
712,628
720,946
721,38
723,50
724,133
725,88
729,137
731,213
732,45
733,218
735,138
736,145
737,187
738,222
739,951
740,543
741,139
742,156
743,50
744,435
747,141
749,136
750,142
754,71
755,42
756,144
757,145
760,146
762,54
767,141
768,149
773,156
776,899
779,51
783,218
784,22
787,311
791,20
796,124
798,151
801,286
803,152
804,21
808,156
810,34
811,61
812,286
819,155
820,918
822,118
826,2
828,567
829,176
836,329
841,156
842,43
843,286
848,350
849,187
852,124
854,142
859,638
860,159
861,34
862,21
864,62
865,161
866,435
867,162
868,163
870,946
871,164
872,30
873,165
877,166
878,118
880,12
884,167
885,543
892,168
893,117
896,192
899,998
