buy_id,customer_id,total_buys
1,660,2
2,661,1
3,662,1
4,663,1
5,664,3
6,665,9
7,666,1
8,667,3
9,668,2
10,669,3
11,670,3
12,671,4
13,665,9
14,672,3
15,673,1
16,1,28
17,674,3
18,1,28
19,675,1
20,676,5
21,672,3
22,2,7
23,677,16
24,669,3
25,678,2
26,3,1
27,679,1
28,117,12
29,4,13
30,5,1
31,680,3
32,671,4
33,681,1
34,682,1
35,683,1
36,2,7
37,1,28
38,108,4
39,7,1
40,684,2
41,685,1
42,686,8
43,687,1
44,688,2
45,672,3
46,6,2
47,677,16
48,530,10
49,9,2
50,665,9
51,25,5
52,6,2
53,671,4
54,294,11
55,10,5
56,689,2
57,660,2
58,11,18
59,684,2
60,1,28
61,688,2
62,12,3
63,690,1
64,691,11
65,692,2
66,14,15
67,693,2
68,694,1
69,15,2
70,695,1
71,4,13
72,696,1
73,677,16
74,697,3
75,17,2
76,16,3
77,698,4
78,18,1
79,699,1
80,13,1
81,700,1
82,19,19
83,226,4
84,701,2
85,702,1
86,703,1
87,704,2
88,560,23
89,705,1
90,20,4
91,697,3
92,362,14
93,697,3
94,706,23
95,670,3
96,560,23
97,293,5
98,665,9
99,707,1
100,21,10
101,708,2
102,709,18
103,22,11
104,19,19
105,710,2
106,23,4
107,711,1
108,4,13
109,21,10
110,712,1
111,31,6
112,713,1
113,704,2
114,1,28
115,27,2
116,24,2
117,714,3
118,715,1
119,716,2
120,717,5
121,718,2
122,226,4
123,719,1
124,720,1
125,721,1
126,693,2
127,4,13
128,560,23
129,10,5
130,722,22
131,723,4
132,698,4
133,42,7
134,4,13
135,28,2
136,724,2
137,725,6
138,726,1
139,31,6
140,727,1
141,728,2
142,4,13
143,729,1
144,691,11
145,722,22
146,730,1
147,723,4
148,731,8
149,4,13
150,1,28
151,678,2
152,14,15
153,33,1
154,732,1
155,733,5
156,734,1
157,735,1
158,736,2
159,4,13
160,35,1
161,737,2
162,738,5
163,739,2
164,740,3
165,21,10
166,731,8
167,37,1
168,36,1
169,4,13
170,32,2
171,691,11
